iter	Passed	Remaining
0	0	98
1	1	77
2	2	69
3	2	62
4	3	60
5	3	58
6	4	57
7	5	58
8	5	57
9	6	56
10	6	56
11	7	55
12	8	55
13	8	54
14	9	53
15	10	52
16	10	51
17	11	50
18	11	49
19	12	49
20	12	48
21	13	47
22	13	46
23	14	45
24	14	44
25	15	43
26	16	43
27	16	42
28	17	41
29	17	41
30	18	40
31	18	39
32	19	39
33	20	38
34	20	38
35	21	37
36	21	37
37	22	36
38	22	35
39	23	35
40	23	34
41	24	33
42	24	32
43	25	32
44	25	31
45	26	30
46	26	30
47	27	29
48	27	29
49	28	28
50	29	27
51	29	27
52	30	26
53	30	26
54	31	25
55	31	24
56	32	24
57	32	23
58	33	23
59	33	22
60	34	22
61	35	21
62	35	20
63	36	20
64	36	19
65	37	19
66	37	18
67	38	18
68	38	17
69	39	16
70	40	16
71	40	15
72	41	15
73	41	14
74	42	14
75	42	13
76	43	12
77	43	12
78	44	11
79	44	11
80	45	10
81	45	10
82	46	9
83	47	8
84	47	8
85	48	7
86	49	7
87	49	6
88	50	6
89	50	5
90	51	5
91	51	4
92	52	3
93	53	3
94	53	2
95	54	2
96	54	1
97	55	1
98	55	0
99	56	0
